case_id,source_root,model_name,model_id,condition,run_id,total_score,total_binary,total_graded,binary_check_1,binary_check_2,binary_check_3,binary_check_4,binary_check_5,binding_constraint_accuracy_0_to_2,slow_variable_recall_0_to_2,intervention_quality_0_to_2,distractor_resistance_0_to_2,judge_confidence,judge_error
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,2,1,2,1,0.82,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.87,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,baseline,1,10,5,5,1,1,1,1,1,1,1,1,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,treatment,1,12,5,7,1,1,1,1,1,1,2,2,2,0.85,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,8,4,4,1,1,0,1,1,1,1,1,1,0.78,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,10,5,5,1,1,1,1,1,1,1,1,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,1,2,2,2,0.82,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
